cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_est,nombre_abr,codpost,nivmod,nivelmodal,tipest_abr,tipest,depfun,depfun_otr,de,comuna,barrio,area_progr,estado,point_x,point_y,wkt,Nivel
200852,20153600,201536,0,1,Carlos Berg 3460,Carlos Berg 3460,Esc. Primaria Común N° 09 Dr. Jose Benjamin Zubiaur,EPjs 09,C1437,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,19,8,VILLA SOLDATI,05 - HOSP PENNA,1,103175.0558,96554.21713,#N/A,Primario Común
200871,20227000,202270,0,1,Agustín de Vedia 2519,Cnel. Martiniano Chilavert 1935,Escuela Infantil N° 06/19°,EI 06/19,C1437,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,1,19,7,FLORES,06 - HOSP PIÑERO,1,102734.2358,97955.60934,#N/A,Inicial Común
200014,20064600,200646,0,1,Juncal 3131,Juncal 3131,Esc. Primaria Común N° 16 Wenceslao Posse,EPjs 16,C1425,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,1,14,PALERMO,04 - HOSP FERNANDEZ,1,104947.4402,104887.1436,#N/A,Primario Común
200871,20183300,201833,0,1,Agustín de Vedia 2519,Agustín de Vedia 2519,Esc. de Educacion Media N° 03/19°,EEM 03/19,C1437,SecCom,Nivel Secundario Común,EEM,Escuela de Educación Media,Dirección de Educación Media,1,19,7,FLORES,06 - HOSP PIÑERO,1,102734.2358,97955.60934,#N/A,Secundario Común
200585,20041900,200419,0,1,Caracas 10,Caracas 10,Esc. Primaria Común N° 02 Florencio Varela,EPjc 02,C1406,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,12,7,FLORES,06 - HOSP PIÑERO,1,100115.817,100156.3459,#N/A,Primario Común
200863,20178300,201783,0,1,Martínez Castro 3061,Martínez Castro 3067,Esc. de Educacion Media N° 02/19° Arturo Jauretche,EEM 02/19,C1437,SecCom,Nivel Secundario Común,EEM,Escuela de Educación Media,Dirección de Educación Media,1,19,8,VILLA SOLDATI,06 - HOSP PIÑERO,1,101259.0113,96382.2976,#N/A,Secundario Común
201980,20291500,202915,0,2,Quesada 2876,Quesada 2876,Escuela Infantil La Casita de Any,EI La Casita de Any,C1429,IniCom,Nivel Inicial Común,IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,1,10,13,NUÑEZ,07 - HOSP PIROVANO,1,99535.92116,108084.1939,#N/A,Inicial Común
200826,20172800,201728,0,1,Arregui 4430,Arregui 4430,Escuela Infantil N° 05/18°,EI 05/18,C1407,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,1,18,10,MONTE CASTRO,11 - HOSP VELEZ SARSFIELD,1,96280.96537,101564.198,#N/A,Inicial Común
201489,20143100,201431,0,2,Carbajal 3250,Carbajal 3250,Inst. Sta. Catalina de Belgrano,I Sta Catalina de Belgrano,C1426,IniCom - PriCom - SecCom - SNUCom,"Nivel Inicial, Primario, Secundario y Superior No Universitario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,1,10,13,BELGRANO,07 - HOSP PIROVANO,1,100190.3778,106436.6375,#N/A,Inicial Común - Primario Común - Secundario Común - Superior No Universitario Común
201536,20053400,200534,0,2,Virrey del Pino 3511,Virrey del Pino 3511,Inst. Mekhitarista,I Mekhitarista,C1426,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,1,10,13,BELGRANO,07 - HOSP PIROVANO,1,99789.08553,106332.0628,#N/A,Inicial Común - Primario Común - Secundario Común
201500,20106800,201068,0,2,Cuba 3302,Cuba 3302,Inst. de Enseñanza Primaria Gral. San Martín,I E Prim Gral San Martín,C1429,IniCom - PriCom,Nivel Inicial y Primario Común,IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,1,10,13,NUÑEZ,07 - HOSP PIROVANO,1,99825.71537,108823.98,#N/A,Inicial Común - Primario Común
201510,20038700,200387,0,2,Manuela Pedraza 3950,Manuela Pedraza 3950,Inst. Sta. María de los Angeles,I Sta María de los Angeles,C1430,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,1,10,12,COGHLAN,07 - HOSP PIROVANO,1,98392.6555,107811.8093,#N/A,Inicial Común - Primario Común - Secundario Común
200377,20137400,201374,0,1,Campichuelo 100,Avda. Rivadavia 4817,Esc. Primaria Común N° 03 Primera Junta,EPjs 03,C1424,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,7,6,CABALLITO,03 - HOSP DURAND,1,102677.2566,101566.2386,#N/A,Primario Común
200356,20037900,200379,0,1,Avda. Rivadavia 6065,Yerbal 1548,Jardín de Infantes Común N° 03/07° La Porteña,JIC 03/07,C1406,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,1,7,6,CABALLITO,06 - HOSP PIÑERO,1,101046.1842,100600.3071,#N/A,Inicial Común
